,uid,app_date,app_method,app_recipient,ct_credit_product,ct_guarantee,credit_purpose,amount_applied_for_flag,action_taken,census_tract_adr_type,gross_annual_revenue_flag,naics_code_flag,number_of_workers,time_in_business_type,business_ownership_status,num_principal_owners_flag,ct_loan_term_flag,denial_reasons,pricing_interest_rate_type,pricing_adj_index_name,num_principal_owners,pricing_mca_addcost_flag,po_1_ethnicity,po_1_race,po_1_gender_flag,po_2_ethnicity,po_2_race,po_2_gender_flag,po_3_ethnicity,po_3_race,po_3_gender_flag,po_4_ethnicity,po_4_race,po_4_gender_flag,ct_credit_product_ff,ct_guarantee_ff,ct_loan_term,credit_purpose_ff,amount_applied_for,amount_approved,action_taken_date,denial_reasons_ff,pricing_init_rate_period,pricing_fixed_rate,pricing_adj_margin,pricing_adj_index_name_ff,pricing_adj_index_value,pricing_origination_charges,pricing_broker_fees,pricing_initial_charges,pricing_mca_addcost,pricing_prepenalty_allowed,pricing_prepenalty_exists,census_tract_number,gross_annual_revenue,naics_code,time_in_business,po_1_ethnicity_ff,po_1_race_anai_ff,po_1_race_asian_ff,po_1_race_baa_ff,po_1_race_pi_ff,po_1_gender_ff,po_2_ethnicity_ff,po_2_race_anai_ff,po_2_race_asian_ff,po_2_race_baa_ff,po_2_race_pi_ff,po_2_gender_ff,po_3_ethnicity_ff,po_3_race_anai_ff,po_3_race_asian_ff,po_3_race_baa_ff,po_3_race_pi_ff,po_3_gender_ff,po_4_ethnicity_ff,po_4_race_anai_ff,po_4_race_asian_ff,po_4_race_baa_ff,po_4_race_pi_ff,po_4_gender_ff
35,736300P4G7WP1EO0QW24Y6V2DYRCMB,"may,31,2024",2,1,1,1;10;8;7,7,999,5,2,900,988,3,2,3;2,900,988,999,999,999,1.0,999,988,3;24;34;26;32;33;974;4;973,988.0,,,,,,,,,,this shouldnt be here,,,,,,20241208,,,,,,,,,,,999,999,27035950400.0,35305440.85,,,,,,tempus hac vel mollis praesent praesent nibh velit penatibus accumsan feugiat tempor dictumst pulvinar felis neque proin natoque ipsum luctus neque lacinia dolor placerat vulputate leo nunc nulla velit viverra eu penatibus v,quisque quisque penatibus fames parturient nisi proin ante adipiscing magna tortor elit dict,,,,,,,,,,,,,,,,,,,
36,048800PQ16FLUEGL1U94K2LS2SVF7H,"may,31,2024",4,1,1,7,10,900,3,1,988,900,2,1,2,900,900,5;6,999,999,2.0,999,12;13;14;2,31;974;36;5;22;42;43;32;972;35;26;1;37;44,1.0,988,22;26;2;41;44;35;42;33;971;37,1.0,,,,,,,this shouldnt be here,,87.0,,25551494.0,,20241209,,,,,,,,,,,999,999,42013010500.0,,512.0,37.0,,,nam ultrices praesent mi dui nullam mollis proin tristique ,,nisl dolor arcu nec scelerisque accumsan viverra duis enim non dui sapien mauris ultricies in erat aenean elit sociis tellus mus,non molestie consectetur auctor lacinia ipsum augue suspendisse augue mauris volutpat parturient nam neque fringilla nam dictum suspendisse cursus mattis blandit bibendum natoque commodo arcu dolor euismod nulla luctus eu nullam nis,,dictumst gravida felis diam rhoncus elementum facilisis mollis egestas donec vitae pulvinar fames at molestie sociis nascetur commodo tortor aliquam vel curabitur erat nec accumsan aene,,,,fames eleifend odio blandit in fringilla dolor nibh in elementum fusce rhoncus molestie e,,,,,,,,,,,,
37,379700PBF1KY9438AV06O57E8OA07WMUFGT5VFX3,"may,31,2024",3,1,1,999,977,900,2,3,988,900,5,988,966,988,900,999,4,999,,999,,,,,,,,,,,,,this shouldnt be here,,66.0,gravi,24918225.0,18301533.0,20241129,,557.0,4.32,,,,402543.01,327632.38,117890.29,,1,1,72127008700.0,,445.0,,,,,,,,,,,,,,,,,,,,,,,,,
38,585600TQEKN6XPORPO934GQ,"may,31,2024",2,2,1,2;4;8,4,999,3,988,900,900,1,988,3,988,999,9,999,999,,999,,,,,,,,,,,,,this shouldnt be here,,,,,,20241212,,,,,,,,,,,999,999,,40229433.85,923.0,,,,,,,,,,,,,,,,,,,,,,,,,
39,366600QNMM3MW5S48P105VM,"may,31,2024",4,2,1,999,977;4,988,4,988,900,900,9,2,3,988,988,999,999,999,,999,,,,,,,,,,,,,this shouldnt be here,,,cursus parturient gravida gravida est luctus phasellus ut natoque ridiculus vivamus elit nunc euismod quam tempor qu,,,20241230,,,,,,,,,,,999,999,,19523113.17,711.0,,,,,,,,,,,,,,,,,,,,,,,,,
40,202700HJYNELP46GVJ20K,"may,31,2024",3,2,1,999,1,900,4,1,988,900,8,988,2,988,900,999,999,999,,999,,,,,,,,,,,,,this shouldnt be here,,80.0,,32317706.0,,20241128,,,,,,,,,,,999,999,42007605300.0,,315.0,,,,,,,,,,,,,,,,,,,,,,,,,
41,665700RHUCHJZQSTWW11HZZU33IQ3XMY6B9PW3,"may,31,2024",2,1,1,1,4,988,1,988,900,988,1,2,3,988,900,999,5,10,,900,,,,,,,,,,,,,this shouldnt be here,,63.0,,,23810605.0,20241204,,730.0,,4.777,,,420773.79,334619.35,335032.11,236560.48,2,2,,20706451.24,,,,,,,,,,,,,,,,,,,,,,,,,,
42,205700SNFSTE64BUBJ79OW8,"may,31,2024",3,1,1,6;5,3;8,988,5,2,900,900,988,1,2,988,999,999,999,999,,999,,,,,,,,,,,,,this shouldnt be here,,,,,,20241225,,,,,,,,,,,999,999,8031006901.0,14802302.75,522.0,55.0,,,,,,,,,,,,,,,,,,,,,,,,
43,452300DZIE5OU4Z6C5966,"may,31,2024",1,1,1,7;10,10;8,999,5,988,900,988,1,988,966,900,999,999,999,999,2.0,999,11;14,31;971;23;34;36;973;27;26,966.0,2;1;977;12,23;972;41;973;974;1;2;5,988.0,,,,,,,this shouldnt be here,,,,,,20241120,,,,,,,,,,,999,999,,12158678.39,,,,diam ante fr,,vivamus morbi mattis at potenti praesent tristique euismod nam lacus donec mus posuere ipsum ullamcorper montes interdum ultrices odio metus dignissim risus proin sagi,,,sem arcu vivamus cum sodales adipiscing ,,pretium pretium morbi tristique ipsum orci pellentesque nascetur vitae sem ,dolor phasellus hac arcu nascetur tellus maecenas nisi imperdiet risus risus tinc,vitae molestie venenatis auctor augue penatibus quisque platea feugiat sodales porta congue praesent sagittis eu hac ridiculus sollicitudin platea ullamcorp,,,,,,,,,,,,,
44,810600NKDRZ2L12CFD53JASJFRGKFZ,"may,31,2024",3,2,1,999,8,900,3,2,988,900,7,1,1,900,900,3;1;9,999,999,2.0,999,12;11;13,974;43;31;41;32;971;42;33;2;4;36;44;22;25;3;24;1;35;5;26;973;37;23;972;21,988.0,12;977;13,22;973;32;25;1;36;3;23;5;974;27;33,966.0,,,,,,,this shouldnt be here,,34.0,,32220341.0,,20241218,,,,,,,,,,,999,999,51650011200.0,,812.0,47.0,,vitae conse,hac lobo,aliquam metus penatibus ligula mi leo varius vel felis consectetur metus sit nascetur ultricies sagittis ipsum nascetur fermentum convallis mus pulvinar adipiscing platea platea sodales faucibus odio diam gravida platea nullam ,euismod ante eleifend tristique duis enim suscipit lacinia vulputate vulputate integer odio commodo cursus libero platea lobortis tempus habitasse luctus nam id aenean vulputate turpis aliquet imperdiet semper habitant mattis c,,tristique egestas volutpat nascetur diam mus proin nibh gravida fringilla sagittis nascetur iaculis massa placerat euismod tristique parturient porta duis varius vitae at ipsum lobortis ac rutrum a pretium integer cu,,,arcu ornare et mus donec nulla magna feu,non porttitor interdum elit lacinia sodales mauris feugiat diam a luctus suspendisse sociis lacinia mauris purus iaculis luctus posuere diam leo semper non donec amet elit platea metus ut netus penatibus donec venen,,,,,,,,,,,,,
45,8681007AR683YU4YLH41U0T,"may,31,2024",3,1,1,11,10;1,999,2,3,988,988,2,2,988,988,900,999,2,999,,900,,,,,,,,,,,,,this shouldnt be here,,78.0,,,58464622.0,20241211,,,11.745,,,,228933.7,242740.06,271308.33,79749.34,1,2,9001022100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,261200PE0R6CEWDIHE130TR1I9CO1S,"may,31,2024",3,1,1,2;977,7,999,3,3,900,988,8,3,966,988,999,9,999,999,,999,,,,,,,,,,,,,this shouldnt be here,sit cum lacinia lorem est porttitor nunc ipsum iaculis lacinia augue maecenas facilisi fringilla elit hendrerit malesuada commodo congue tempor scelerisque cursus metus eu nunc hendrerit arcu dictum hendrerit egestas id condimentum aliquet magnis euismod mol,,,,,20241223,,,,,,,,,,,999,999,1133965700.0,17634424.34,,,,,,,,,,,,,,,,,,,,,,,,,,
47,42020065J96WK1QXGA20S5U,"may,31,2024",2,1,1,999,999,988,3,988,900,900,1,988,955;1,988,900,977,999,999,,999,,,,,,,,,,,,,this shouldnt be here,,55.0,,,,20241115,quisque commodo diam suspendisse venenatis proin vivamus nisi nulla lacinia tempor euismod phasellus varius fermentum proin diam nullam metus rutrum orci non suspendisse velit tincidunt senectus ligula tortor hac dolor tempor bibendum sociis aenean mus auctor ridiculus varius turpis ,,,,,,,,,,999,999,,39555814.51,517.0,,,,,,,,,,,,,,,,,,,,,,,,,
48,62590000LC5PAFA5C0851ZX9ANOH3GE8RH,"may,31,2024",2,1,1,2,8,900,2,2,988,900,7,2,955;2,900,988,999,4,999,1.0,900,13;977;1;14,33;44;27;973;36;974;972;1;26;34;3;37;25;5,988.0,,,,,,,,,,this shouldnt be here,,,,37317351.0,37073689.0,20241130,,350.0,7.673,,,,301131.4,253064.97,344469.94,286599.81,2,1,4013116719.0,,115.0,,pellentesque arcu auc,,aliquam imperdiet nam dolor scelerisque nisl praesent felis fusce porttitor hendrerit sociis nibh sit sociis molestie ac arcu molestie ti,viverra id nibh parturient ornare aenean dolor massa praesent penatibus praesent tristique nascetur etiam lorem accumsan leo condimentum etiam sagittis nec eleifend felis auctor donec facilisi nec lobortis dis cursus eget auctor nisl risus consequat elementum malesuada phasell,amet eu aenean dolor est porttitor magna pulvinar ullamcorper luctus etiam placerat imperdiet laoreet ac etiam ultrices cursus platea porta in auctor augue tortor hend,,,,,,,,,,,,,,,,,,,
49,513400BI0JJ9CR4L3G55VP1,"may,31,2024",2,2,1,3,1,999,4,988,988,900,2,988,966,900,988,999,999,999,0.0,999,,,,,,,,,,,,,this shouldnt be here,,,,,,20241112,,,,,,,,,,,999,999,,,458.0,,,,,,,,,,,,,,,,,,,,,,,,,
50,360700WT0BRP67SPZH881,"may,31,2024",3,1,977,11;10;9,1;2,900,3,3,988,988,3,3,955;3,988,999,9;7;6,999,999,,999,,,,,,,,,,,,,,,,,11729045.0,,20241126,,,,,,,,,,,999,999,6067009008.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,194600W3UWKA5HYOSJ57ZUY,"may,31,2024",2,2,977,999,977;7,999,5,988,900,900,1,988,955,988,999,999,999,999,,999,,,,,,,,,,,,,,,,eu natoque ac pharetra posuere ligula ultrices condimentum hac habitasse risus congue mauris semper venenatis morbi metus sit luctus id odio aliquam diam purus mi posuere vel nec dignissim phasellus ,,,20241208,,,,,,,,,,,999,999,,49204912.74,238.0,,,,,,,,,,,,,,,,,,,,,,,,,
52,324900RCDFLNTCYAEG52J384JNGX52HMFJFSC44S,"may,31,2024",3,2,977,7;6;8;4,3,900,2,988,900,988,1,1,2,900,988,999,3,7,0.0,900,,,,,,,,,,,,,,,,,30782917.0,12134348.0,20241221,,144.0,,4.742,,9.665,148600.34,289667.37,343731.56,216275.48,1,1,,20996953.09,,37.0,,,,,,,,,,,,,,,,,,,,,,,,
53,450000KX3JVYH5OCAF45H,"may,31,2024",4,2,977,9,9;11,900,2,1,988,988,9,988,966,900,900,999,3,9,3.0,999,988,25;41;36;44;35;21;24;5,966.0,977;12;11;1,973;26;24;4;25;22;974;37,966.0,,,,,,,,,65.0,,30875544.0,33811871.0,20241224,,777.0,,5.567,,4.017,579615.7,226566.24,609539.86,,1,1,6037293306.0,,,,,,,,,,id sagittis consectetur magna risus vulputate sodales fames non congue pretium leo cum curabitur donec auctor magna mauris sociis magnis sodales ridiculus auctor consequat lacinia d,,,fermentum hendrerit diam aliquet magnis phasellus ac venenatis egestas nullam dui quisque senectus,varius lobortis vulputate amet fermentum potenti dignissim in volutpat amet praesent semper ac vulputate est commodo ultricies montes convallis ornare sagittis arcu non morbi dictumst nulla malesuada sodales tempor dui,,,,,,,,,,,,,
54,3877009Y9HDSEGDAPJ29E,"may,31,2024",3,1,977,7;5,3;6,988,4,2,988,988,988,2,3,988,999,999,999,999,,999,,,,,,,,,,,,,,,,,,,20241218,,,,,,,,,,,999,999,42005950100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,438200HCFXQ8VM3ZXO128L338IDHXAS5ZMCJ,"may,31,2024",4,2,977,6;9;8;3,5;8,900,3,1,988,988,1,3,2;955,900,900,9;6;8,999,999,2.0,999,11;977;2,24;27;37;3;23;34,988.0,11,22;44;974;2;3;43;36;42;971;32;33;973;41;24;5;26,966.0,,,,,,,,,46.0,,31017836.0,,20241227,,,,,,,,,,,999,999,26075000200.0,,,,tempor sollicitudin lorem ridiculus nullam diam ante suscipit lacus duis id cras donec sagittis urna adipiscing in elit ac morbi congue magna venenatis risus elit sem tortor in eget malesuada,,,,,,,sem vitae praesent sem tristique nascetur nunc tristique faucibus aliquam justo mollis diam aliquet erat fames convallis lacus integer turpis nibh nam volutpat nulla posuere porttitor nibh pharetra tempor lectus elementum ultricies feugiat ,,viverra donec dis iaculis adipiscing ligula enim mattis tortor aliquet hac eros cursus habitasse hac pharetra ullamcorper euismod pulvinar accumsan fusce cras quisque ut convallis fames aenean ha,amet massa bibendum semper turpis libero quisque massa auctor nibh congue pharetra aenean varius morbi aliquam magna ridiculus magnis sed bibendum facilisis facilisis commodo orci ac tempus tellus quisque elementum nam porta elementum nec interdum mi ,,,,,,,,,,,,,
56,555900ZK8N65G1GMPT55OOGQPKJWNMB4MV75,"may,31,2024",3,2,977,999,7;11,988,2,1,988,988,1,2,955,900,988,999,6,999,2.0,999,11,27;37;972;21;34;22;31;43,1.0,1;11;2;14;977,33;32;3;973;37;21;25;26;42;43;34;44;2;23,988.0,,,,,,,,,,,,23360844.0,20241110,,384.0,8.642,,,,178996.74,420517.71,268272.48,,1,2,12105013300.0,,,,,,mattis montes potenti nunc fringilla laoreet turpis in quis cum ante mattis accumsan eleifend massa penatibus gravida dis netus facilisis aenean id luctus aenean amet justo ac cras feugiat ,,,egestas fames phasellus maecenas orci mollis porttitor hendrerit non tincidunt proin ut condimentum accumsan netus senectus natoque arcu ipsum curabitur molestie dui parturient eget pulvinar felis ante ac ipsum adipiscing mattis justo donec dictumst fermentum nunc fames,adipiscing porta consectetur sapien dis montes etiam enim quisque nisi dis fringilla leo aenean congue congue ,,,platea montes congue scelerisque ultrices lacus eu cum erat convallis ac turpis massa augue curabitur eros non convallis risus dui elit nisi consequat duis felis adipiscing habitant magna porta eleifend blandit mus montes sapien viverra mi natoque sapien diam porttitor nec f,,,,,,,,,,,,,,
57,867000MJAUX53OTJ4891GDCJ882,"may,31,2024",2,1,977,6;8;7,9;8,999,2,3,988,900,2,1,966,900,900,999,1,7,3.0,900,12;13,44;36;33;37;35;973;2;24;43;23;27;26;41;974;21;25;3;971;34;31;22;32,988.0,2;11;12;14,37;2;32;35;43;26;31;33;27;24;36;5;23,988.0,,,,,,,,,51.0,,,24223519.0,20241226,,,,8.964,,6.287,172406.93,146532.33,164904.19,218891.86,2,2,42101023100.0,,315.0,36.0,,facilisi eu enim sociis orci donec porttitor nisl leo non ipsum nunc malesuada auctor ut facilisis posuere sollicitudin diam enim posuere fermentum id mollis facilisis nam adipiscing volutpat diam sc,,bibendum vitae lobortis massa ridiculus ipsum velit lobortis laoreet sagittis pharetra etiam congue duis ipsum integer ac congue elementum felis eget cras quisque ,purus nam facilisi parturient libero lorem mi integer integer gravida eleifend cras fusce eget netus e,,,,,,,,,,,,,,,,,,,
58,924400DD8413409QHA04MWTU23A8XF9,"may,31,2024",1,1,977,2;10;9,977,988,5,3,988,988,2,2,2,988,988,999,999,999,,999,,,,,,,,,,,,,,,,montes viverra tincidunt platea gravida etiam quisque eget nunc metus facilisis hac porttitor duis non maecenas magna nec nam quisque fames erat tempor ,,,20241111,,,,,,,,,,,999,999,29089960100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,231300KOECC9WJZUKB52FLLWUK6AY0RXR9T3P,"may,31,2024",4,2,977,5,2,999,5,988,988,900,2,2,1;955,900,988,999,999,999,3.0,999,13,37;5;973;1;21;2;972;31;32;26;23;43;24;41;3;4;974;22,966.0,11;1;12;13;977,974;973;31;36;41,988.0,,,,,,,,,,,,,20241227,,,,,,,,,,,999,999,,,522.0,,,,sed vitae tortor morbi morbi aenean eros dictumst tincidunt dignissim duis tellus ridiculus duis facilisi mattis nam in justo mollis ipsum ante tellus et et adipiscing nam augue odio quisque lectus luctu,ligula proin felis donec posuere donec facilisis parturient mattis dignissim aliquet dolor dictum augue aliquam i,mi neque cras odio blandit at ullamcorper fames mollis elementum aliquam sed erat tempor gravida vulputate venenatis porta metus rutrum nullam nullam quam consectetur velit platea suspendisse auctor aliquam ridiculus dictum ,,mus lacus vulputate mattis at mi senectus risus lectus ridiculus velit penatibus dictum lectu,,,odio suscipit et eros risus donec ultrices congue augue ullamcorper fusce facilisi in consequat vestibulum justo facilisi massa rutrum magnis sed dis eleifend varius erat egestas potenti donec erat lacinia sollicit,nibh iaculis aenean vestibulum justo lobortis cursus rutrum et sed consequat turpis nunc ero,,,,,,,,,,,,,
60,351100JZUFPP0D8LBU776HSN3KB3I865YXLBURWKIE,"may,31,2024",2,1,977,8;4;9,6;9,988,1,3,900,900,6,988,1;3,988,988,999,4,999,,999,,,,,,,,,,,,,,,,,,39113463.0,20241219,,265.0,14.595,,,,181742.92,171862.21,323635.09,,2,1,6081610700.0,64677930.7,326.0,,,,,,,,,,,,,,,,,,,,,,,,,
61,6253003SMCTE04I08864O8G3YAJE2GP,"may,31,2024",3,1,977,999,988,988,5,2,988,900,2,2,2,900,900,999,999,999,1.0,999,2;14,21;37;33;973;36;24;4;31;974;23;41;32;971;3;42;35;43;44;5;25;26;34;1;2,1.0,,,,,,,,,,,,48.0,,,,20241216,,,,,,,,,,,999,999,48157673102.0,,332.0,,,duis semper lectus facilisi ligula cum pretium tempus erat ,,nunc viverra quis penatibus tempus adipiscing tincidunt bibendum sodales placerat lectus mollis sagittis rhoncus lobortis platea lectus mattis tempus orci congue condimentum morbi sociis urna amet suspendisse natoque tortor congue nascetur mollis nec nec ,gravida pulvinar faucibus suscipit rhoncus mi consectetur semper amet pretium mus cras viverra phasellus mauris fermentum adi,donec volutpat augue imperdiet lectus penatibus diam ligula montes parturient cras porttitor lobortis imperdiet sem tristique tellus tellus fames purus etiam cursus tempor quisque nulla luctus nam ante luctus a arcu ridiculus matti,,,,,,,,,,,,,,,,,,
62,3678000DMYFM6P65D709048UMGQ4SCYN0,"may,31,2024",3,2,977,9;3,2;6,988,2,2,900,900,1,2,966,988,999,999,6,999,,900,,,,,,,,,,,,,,,,,,14614032.0,20241209,,193.0,10.438,,,,288865.58,299568.97,256198.25,288157.41,1,2,6065042719.0,22277019.48,238.0,,,,,,,,,,,,,,,,,,,,,,,,,
63,673800TWLXETICGOMF71NYK4VS9TLE,"may,31,2024",3,2,977,1,5;6,900,4,988,900,900,9,1,955;1,900,999,999,999,999,1.0,999,12;11;977;13;2,972;31;21;23;27;25;34;37;26;5;1,966.0,,,,,,,,,,,,,,21271736.0,,20241229,,,,,,,,,,,999,999,,29735381.62,813.0,49.0,fusce eget nascetur neque blandit condimentum sagittis nam tristique dictumst dictum aenean sodales dui dignissim leo neque adipiscing magn,,accumsan venenatis viverra quis posuere augue non ac commodo nisl,,,,,,,,,,,,,,,,,,,,,
64,997000MO99MYJIP51847LIP2YRC4D,"may,31,2024",3,2,977,999,5,900,3,2,988,900,5,2,955;1,900,999,7,999,999,0.0,999,,,,,,,,,,,,,,,,,45399561.0,,20241120,,,,,,,,,,,999,999,6001407200.0,,519.0,,,,,,,,,,,,,,,,,,,,,,,,,
65,214600IY1BPYVRRPLZ01I4,"may,31,2024",3,1,977,11,988,988,5,1,900,900,988,988,3,988,999,999,999,999,,999,,,,,,,,,,,,,,,,,,,20241128,,,,,,,,,,,999,999,20051072900.0,16882718.14,313.0,,,,,,,,,,,,,,,,,,,,,,,,,
66,725200AT29GWWS1A66189UAJ48IW4MQITN2HS5C,"may,31,2024",4,1,977,999,5,900,3,988,900,900,7,2,988,988,988,6;3,999,999,,999,,,,,,,,,,,,,,,,,40532397.0,,20241206,,,,,,,,,,,999,999,,9558802.0,486.0,,,,,,,,,,,,,,,,,,,,,,,,,
67,001700P67SFT21Q5D061QB4M1T3OKNCJ1VPEHYVQGB4I,"may,31,2024",3,1,977,2;10,977,988,4,2,988,900,6,2,1,988,988,999,999,999,,999,,,,,,,,,,,,,,,,diam ornare magna odio netus bibendum urna mollis nisl molestie congue sed habitasse diam odio pharetra convallis curabitur tempus mauris hendrerit malesuada montes ac praesent habitasse duis aliquam nullam ligula sagittis tellus velit vel mollis fusce suspendisse posuere dictum ac in eget pe,,,20241222,,,,,,,,,,,999,999,28107950600.0,,326.0,,,,,,,,,,,,,,,,,,,,,,,,,
68,957100YC6H7WI80K6N91O73K94JI6Y8Q10KIY,"may,31,2024",3,2,977,5;2;1;977,4,999,3,3,900,988,1,3,988,900,900,4,999,999,4.0,999,988,26;42;5;43;21;3;972;25;973;35;32;974;23;31;4,966.0,11;14;12;2,972;22;44;31;973;21;42;37;33;35;41;26;3;971;2;5;34;24;4;32,988.0,11,25;4;35;43;27;5;972;26;21;34;36;22;971;3;974;1;37;24,988.0,988,44;31,966.0,,praesent diam blandit mus aenean varius facilisis dolor dis fusce potenti scelerisque auctor imperdiet natoque morbi ridiculus rhoncus vivamus enim ridiculus varius erat mattis interdum habitasse lacus justo adipiscing sit enim tortor enim fermentum facilisi lectus parturient place,71.0,,,,20241224,,,,,,,,,,,999,999,6059062625.0,3315364.38,,,,,aenean donec hendrerit orci feugiat egestas amet eleifend tempus ante viverra lobortis et lobortis phasellus orci in blandit vari,urna nullam curabitur viverra lacus libero nisl morbi metus fusce hac ultrices dolor montes auctor fames dictum morbi urna nunc ridiculus pretium ipsum nisi et,sociis a malesuada posuere ut egestas duis magna posuere mi fusce ultrices malesuada magnis interdum aliquet ridiculus lorem commodo congue tortor placerat vitae arcu enim facilisi etiam vestib,,,nullam pellentesque ut lectus montes quis erat vulputate tort,fames aliquet justo ultrices lorem gravida gravida mollis felis iaculis tortor commodo eros suscipit nec id,lobortis tellus elit augue eleifend rhoncus rhoncus vestibulum nibh mollis natoque elementum tristique parturient commodo cursus faucibus fames aliquet cum nasce,,,,praesent parturient eros id sodales tellus semper porttitor consectetur aenean consectetur erat libero praesent cum ultrices bibe,venenatis sociis fringilla in adipiscing in potenti purus proin amet volutpat egestas senectus sodales varius massa gravida orci pellentesque quisque non at mi sollicitudin e,,natoque imperdiet mi eros habitasse parturient mollis elementum neque tincidunt tincidunt euismod consequat nunc magnis nec ante hac ultricies consequat habitasse lacinia mi ipsum suscipit porttitor ornare bibendum volutpat feugiat urna dictumst eget nec morbi,,,,,,,
69,660600R5L8V95CIL9A272436Q7DL9,"may,31,2024",1,1,977,11;7,8;2,900,3,1,900,988,1,988,2,900,900,5,999,999,3.0,999,13;14;12;11;977,3;971;973;42;25;23;21;974,988.0,14;977;13,1;972;4;43;5;26;31;44;25;21;973;34,966.0,,,,,,,,,92.0,,35604375.0,,20241215,,,,,,,,,,,999,999,48013960202.0,30129038.74,,,sagittis metus pulvinar montes convallis porta mus ridiculus urna leo fames integer tempus congue suscipit habitasse turpis feugi,ornare cras laoreet magna congue quisque dolor est ultrices quisque pretium dui ac non ipsum dui accumsan et cursus libero urna neque mollis rutrum mollis mollis sem proin a ligula ac duis scelerisque scelerisque quisque mi fu,,leo tempus aenean sociis rutrum eleifend integer placerat congue praesent ultricies imperdiet lacus dictumst quisque posuere b,leo sollicitudin phasellus platea volutpat placerat ac cras faucibus eros commodo eu phasellus consectetur rhoncus suscipit pulvinar f,,duis maecenas potenti lobortis luctus imperdiet mon,,nibh cras,magnis purus fames justo curabitur rutrum proin nam commodo maecenas cursus condimentum viverra tempor netus p,,,,,,,,,,,,,,
70,261500JSORPPF497W600LU8S0KUPZPVG83S,"may,31,2024",3,2,977,999,3,900,1,1,988,900,2,1,3;1,900,999,999,4,999,1.0,900,977,32;22;24;31;41;1;974;33;36;21;3;4;27;34,988.0,,,,,,,,,,,,,,22726510.0,27594125.0,20241220,,337.0,4.248,,,,162827.08,220662.33,196036.75,179860.79,2,2,18097355500.0,,811.0,68.0,phasellus mus tempor nec ultrices mattis ,,,,hendrerit sed ante interdum ni,,,,,,,,,,,,,,,,,,,
71,1988003AIOSU2JZQ8Z64XLQE,"may,31,2024",3,2,977,1;6;5;2,11,988,2,988,900,900,1,3,3;1,988,988,999,6,999,,900,,,,,,,,,,,,,,,,,,43995100.0,20241124,,367.0,8.301,,,,127077.27,413524.69,242391.83,318726.84,2,1,,19175930.73,811.0,,,,,,,,,,,,,,,,,,,,,,,,,
72,568000BTG57CF0WN8803H1KQ1ZNUWRKEA,"may,31,2024",1,2,977,9;4;11;8,9;10,900,3,3,988,988,7,3,988,988,988,2;4,999,999,,999,,,,,,,,,,,,,,,,,42054168.0,,20241123,,,,,,,,,,,999,999,36005036902.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,5270004ZHEYSC6YAV721L2THVRKPFSL523E,"may,31,2024",3,1,977,2,977;10,988,1,1,900,900,6,988,1;955,900,900,999,6,999,0.0,900,,,,,,,,,,,,,,,84.0,montes elementum cras consectetur senectus netus rhoncus quam blandit odio ante volutpat sodales ipsum nam lobortis iaculis etiam erat congue lacinia scelerisque u,,22495612.0,20241112,,324.0,8.112,,,,594754.09,360979.16,157271.68,273054.05,1,1,54067950600.0,15212109.04,457.0,,,,,,,,,,,,,,,,,,,,,,,,,
74,101600CRO71K59QUUO86A64TUU9GG855X,"may,31,2024",4,2,977,2;11;10;3,7,988,5,3,900,900,1,1,955,900,999,999,999,999,0.0,999,,,,,,,,,,,,,,,,,,,20241221,,,,,,,,,,,999,999,42041011400.0,45849754.17,321.0,48.0,,,,,,,,,,,,,,,,,,,,,,,,
75,1267005IMTRS5VQ3XB50CI2NKJPW5A7W209V2GR,"may,31,2024",3,1,977,1,8;5,999,4,988,900,900,9,2,988,988,900,999,999,999,,999,,,,,,,,,,,,,,,32.0,,,,20241201,,,,,,,,,,,999,999,,11694486.76,315.0,,,,,,,,,,,,,,,,,,,,,,,,,
76,593200DPSSLSR9DDJ034J,"may,31,2024",2,2,977,977;11;2,10,900,1,988,900,900,8,1,955;2,988,900,999,1,1,,900,,,,,,,,,,,,,,consectetur posuere ipsum magna lorem varius at vivamus magnis blandit rhoncus massa vol,47.0,,34904277.0,24860028.0,20241205,,,,3.471,,8.119,387342.4,120330.04,179699.41,380916.15,1,2,,18813840.87,424.0,55.0,,,,,,,,,,,,,,,,,,,,,,,,
77,811000QZ97WU74DHQL60RQMJWRN5,"may,31,2024",3,2,977,999,6;9,988,5,988,988,900,3,2,3;1,988,988,999,999,999,,999,,,,,,,,,,,,,,,,,,,20241122,,,,,,,,,,,999,999,,,314.0,,,,,,,,,,,,,,,,,,,,,,,,,
